	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped
202	16	3	101	0	his	False	-2	2	136	136	136	136	128	128	128	128	-2	his	False	P	False	3	0	1	0
203	16	3	59	0	his	False	-2	3	168	168	168	168	248	248	248	248	-2	his	False	P	False	3	0	1	0
204	16	3	148	0	his	False	-2	4	148	148	148	148	332	332	332	332	-2	his	False	P	False	3	0	1	0
205	16	3	72	0	his	False	-2	5	164	164	164	164	192	192	192	192	-2	his	False	P	False	3	0	1	0
206	16	3	192	0	his	False	-2	6	124	124	124	124	0	0	0	0	-2	his	False	P	False	3	0	1	0
207	16	3	195	0	his	False	-2	7	160	160	160	160	0	0	0	0	-2	his	False	P	False	3	0	1	0
208	16	3	22	0	his	False	-2	8	196	196	196	196	140	140	140	140	-2	his	False	P	False	3	0	1	0
209	16	3	5	0	his	False	-2	9	196	196	196	196	164	164	164	164	-2	his	False	P	False	3	0	1	0
210	16	3	86	0	his	False	-2	10	156	156	156	156	68	68	68	68	-2	his	False	P	False	3	0	1	0
211	16	3	16	0	his	False	-2	11	136	136	136	136	216	216	216	216	-2	his	False	P	False	3	0	1	0
213	16	3	139	0	his	False	-2	13	184	184	184	184	0	0	0	0	-2	his	False	P	False	3	0	1	0
214	16	3	177	0	his	False	-2	14	256	256	256	256	0	0	0	0	-2	his	False	P	False	3	0	1	0
215	16	3	142	0	his	False	-2	15	196	196	196	196	0	0	0	0	-2	his	False	P	False	3	0	1	0
216	16	3	113	0	his	False	-2	16	212	212	212	212	164	164	164	164	-2	his	False	P	False	3	0	1	0
218	16	3	45	0	his	False	-2	18	252	252	252	252	136	136	136	136	-2	his	False	P	False	3	0	1	0
219	16	3	8	0	his	False	-2	19	160	160	160	160	236	236	236	236	-2	his	False	P	False	3	0	1	0
221	16	3	55	0	his	False	-2	21	212	212	400	708	120	120	120	120	-2	his	False	P	False	3	0	1	0
222	16	3	101	0	his	False	-2	22	168	388	388	388	0	0	0	0	-2	his	False	P	False	3	0	1	0
223	16	3	103	0	his	False	-2	23	132	288	288	288	264	264	264	264	-2	his	False	P	False	3	0	1	0
224	16	3	40	0	his	False	-2	24	160	160	160	160	204	204	204	204	-2	his	False	P	False	3	0	1	0
225	16	3	166	0	his	False	-2	25	136	136	136	136	148	148	148	148	-2	his	False	P	False	3	0	1	0
226	16	3	26	0	his	False	-2	27	72	72	72	552	300	300	300	300	-2	his	False	P	False	3	0	1	0
228	16	3	97	0	his	False	-2	29	180	180	180	180	188	188	188	188	-2	his	False	P	False	3	0	1	0
229	16	3	70	0	his	False	-2	30	276	276	488	744	212	212	212	212	-2	his	False	P	False	3	0	1	0
230	16	3	136	0	his	False	-2	31	144	144	144	144	120	120	120	120	-2	his	False	P	False	3	0	1	0
231	16	3	41	0	his	False	-2	32	184	184	184	184	200	200	200	200	-2	his	False	P	False	3	0	1	0
232	16	3	2	0	his	False	-2	33	188	188	188	188	136	136	136	136	-2	his	False	P	False	3	0	1	0
233	16	3	92	0	his	False	-2	34	220	220	220	432	212	424	424	424	-2	his	False	P	False	3	0	1	0
235	16	3	186	0	his	False	-2	36	180	180	180	180	252	252	252	656	-2	his	False	P	False	3	0	1	0
236	16	3	49	0	his	False	-2	37	212	212	212	212	128	128	128	128	-2	his	False	P	False	3	0	1	0
243	17	4	158	0	his	False	-3	1	188	344	344	344	136	136	136	136	-3	his	False	P	False	3	0	1	0
244	17	4	197	0	his	False	-3	2	168	168	168	168	0	0	0	0	-3	his	False	P	False	3	0	1	0
245	17	4	122	0	his	False	-3	3	144	144	144	312	184	184	184	184	-3	his	False	P	False	3	0	1	0
246	17	4	5	0	his	False	-3	4	88	172	172	172	288	288	476	640	-3	his	False	P	False	3	0	1	0
248	17	4	86	0	his	False	-3	6	184	184	184	184	444	444	444	444	-3	his	False	P	False	3	0	1	0
250	17	4	51	0	his	False	-3	8	196	196	196	196	248	248	248	516	-3	his	False	P	False	3	0	1	0
252	17	4	37	0	his	False	-3	11	124	124	124	124	132	132	132	132	-3	his	False	P	False	3	0	1	0
253	17	4	143	0	his	False	-3	12	224	224	224	576	116	116	116	116	-3	his	False	P	False	3	0	1	0
254	17	4	52	0	his	False	-3	13	208	208	208	208	168	168	168	168	-3	his	False	P	False	3	0	1	0
255	17	4	22	0	his	False	-3	14	208	208	208	208	216	216	216	216	-3	his	False	P	False	3	0	1	0
257	17	4	169	0	his	False	-3	16	240	412	412	412	216	464	464	464	-3	his	False	P	False	3	0	1	0
258	17	4	86	0	his	False	-3	17	292	292	292	292	172	308	308	308	-3	his	False	P	False	3	0	1	0
259	17	4	115	0	his	False	-3	18	208	208	208	208	0	0	0	0	-3	his	False	P	False	3	0	1	0
260	17	4	205	0	his	False	-3	19	244	244	244	244	168	168	344	812	-3	his	False	P	False	3	0	1	0
263	17	4	52	0	his	False	-3	22	288	288	288	288	196	196	196	196	-3	his	False	P	False	3	0	1	0
264	17	4	75	0	his	False	-3	23	184	184	184	184	200	200	200	200	-3	his	False	P	False	3	0	1	0
266	17	4	103	0	his	False	-3	25	164	316	316	316	192	192	192	192	-3	his	False	P	False	3	0	1	0
267	17	4	195	0	his	False	-3	27	228	228	228	228	28	28	212	428	-3	his	False	P	False	3	0	1	0
268	17	4	77	0	his	False	-3	28	140	140	268	544	160	160	160	160	-3	his	False	P	False	3	0	1	0
272	17	4	138	0	his	False	-3	32	208	444	444	720	168	168	168	168	-3	his	False	P	False	3	0	1	0
273	17	4	46	0	his	False	-3	33	136	136	136	316	124	124	124	124	-3	his	False	P	False	3	0	1	0
274	17	4	69	0	his	False	-3	34	252	252	252	252	252	252	252	252	-3	his	False	P	False	3	0	1	0
275	17	4	102	0	his	False	-3	35	144	144	144	144	156	156	156	156	-3	his	False	P	False	3	0	1	0
277	17	4	112	0	his	False	-3	37	156	156	156	212	240	240	240	240	-3	his	False	P	False	3	0	1	0
278	17	4	82	0	his	False	-3	38	248	248	248	248	144	144	144	144	-3	his	False	P	False	3	0	1	0
280	17	4	47	0	his	False	-3	40	140	140	140	140	140	140	140	140	-3	his	False	P	False	3	0	1	0
283	17	4	28	0	his	False	-3	43	180	180	180	180	228	228	228	228	-3	his	False	P	False	3	0	1	0
325	18	5	33	0	his	True	-4	1	248	248	248	248	264	264	264	264	-4	his	False	P	False	3	1	1	0
326	18	5	120	0	his	True	-4	2	156	156	344	568	0	0	0	0	-4	his	False	P	False	3	1	1	0
327	18	5	75	0	his	True	-4	3	144	336	336	336	0	0	0	0	-4	his	False	P	False	3	1	1	0
328	18	5	105	0	his	True	-4	4	644	644	644	644	0	0	0	0	-4	his	False	P	False	3	1	1	0
330	18	5	46	0	his	True	-4	6	176	176	176	176	80	80	80	80	-4	his	False	P	False	3	1	1	0
331	18	5	107	0	his	True	-4	7	80	80	572	1660	0	0	0	0	-4	his	False	P	False	3	1	1	0
332	18	5	153	0	his	True	-4	8	212	212	212	212	0	0	0	0	-4	his	False	P	False	3	1	1	0
333	18	5	135	0	his	True	-4	10	336	336	336	336	244	524	524	1364	-4	his	False	P	False	3	1	1	0
334	18	5	201	0	his	True	-4	11	196	196	196	308	108	108	108	108	-4	his	False	P	False	3	1	1	0
