	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped
228	16	3	97	0	his	False	-2	29	180	180	180	180	188	188	188	188	-2	his	False	P	False	3	0	1	0
229	16	3	70	0	his	False	-2	30	276	276	488	744	212	212	212	212	-2	his	False	P	False	3	0	1	0
230	16	3	136	0	his	False	-2	31	144	144	144	144	120	120	120	120	-2	his	False	P	False	3	0	1	0
231	16	3	41	0	his	False	-2	32	184	184	184	184	200	200	200	200	-2	his	False	P	False	3	0	1	0
232	16	3	2	0	his	False	-2	33	188	188	188	188	136	136	136	136	-2	his	False	P	False	3	0	1	0
233	16	3	92	0	his	False	-2	34	220	220	220	432	212	424	424	424	-2	his	False	P	False	3	0	1	0
234	16	3	35	0	his	False	-2	35	0	0	0	0	164	320	320	320	-2	his	False	P	False	3	0	1	1
235	16	3	186	0	his	False	-2	36	180	180	180	180	252	252	252	656	-2	his	False	P	False	3	0	1	0
236	16	3	49	0	his	False	-2	37	212	212	212	212	128	128	128	128	-2	his	False	P	False	3	0	1	0
237	16	3	182	0	his	False	-2	38	0	0	0	0	200	200	200	448	-2	his	False	P	False	3	0	1	1
238	16	3	47	0	his	False	-2	39	0	0	0	0	312	312	312	312	-2	his	False	P	False	3	0	1	1
240	16	3	23	0	his	False	-2	41	0	0	0	0	156	316	316	316	-2	his	False	P	False	3	0	1	1
241	16	3	98	0	his	False	-2	42	0	0	0	0	264	264	264	264	-2	his	False	P	False	3	0	1	1
242	16	3	54	0	his	False	-2	43	0	0	0	0	220	220	220	220	-2	his	False	P	False	3	0	1	1
243	17	4	158	0	his	False	-3	1	188	344	344	344	136	136	136	136	-3	his	False	P	False	3	0	1	0
245	17	4	122	0	his	False	-3	3	144	144	144	312	184	184	184	184	-3	his	False	P	False	3	0	1	0
246	17	4	5	0	his	False	-3	4	88	172	172	172	288	288	476	640	-3	his	False	P	False	3	0	1	0
247	17	4	105	0	his	False	-3	5	0	0	0	0	256	256	256	256	-3	his	False	P	False	3	0	1	1
248	17	4	86	0	his	False	-3	6	184	184	184	184	444	444	444	444	-3	his	False	P	False	3	0	1	0
249	17	4	121	0	his	False	-3	7	0	0	0	0	88	88	88	88	-3	his	False	P	False	3	0	1	1
250	17	4	51	0	his	False	-3	8	196	196	196	196	248	248	248	516	-3	his	False	P	False	3	0	1	0
252	17	4	37	0	his	False	-3	11	124	124	124	124	132	132	132	132	-3	his	False	P	False	3	0	1	0
253	17	4	143	0	his	False	-3	12	224	224	224	576	116	116	116	116	-3	his	False	P	False	3	0	1	0
254	17	4	52	0	his	False	-3	13	208	208	208	208	168	168	168	168	-3	his	False	P	False	3	0	1	0
255	17	4	22	0	his	False	-3	14	208	208	208	208	216	216	216	216	-3	his	False	P	False	3	0	1	0
256	17	4	119	0	his	False	-3	15	0	0	0	0	496	496	496	496	-3	his	False	P	False	3	0	1	1
257	17	4	169	0	his	False	-3	16	240	412	412	412	216	464	464	464	-3	his	False	P	False	3	0	1	0
258	17	4	86	0	his	False	-3	17	292	292	292	292	172	308	308	308	-3	his	False	P	False	3	0	1	0
260	17	4	205	0	his	False	-3	19	244	244	244	244	168	168	344	812	-3	his	False	P	False	3	0	1	0
261	17	4	116	0	his	False	-3	20	0	0	0	0	200	200	200	200	-3	his	False	P	False	3	0	1	1
262	17	4	189	0	his	False	-3	21	0	0	0	0	272	420	420	420	-3	his	False	P	False	3	0	1	1
263	17	4	52	0	his	False	-3	22	288	288	288	288	196	196	196	196	-3	his	False	P	False	3	0	1	0
264	17	4	75	0	his	False	-3	23	184	184	184	184	200	200	200	200	-3	his	False	P	False	3	0	1	0
265	17	4	14	0	his	False	-3	24	0	0	0	0	156	156	312	708	-3	his	False	P	False	3	0	1	1
266	17	4	103	0	his	False	-3	25	164	316	316	316	192	192	192	192	-3	his	False	P	False	3	0	1	0
267	17	4	195	0	his	False	-3	27	228	228	228	228	28	28	212	428	-3	his	False	P	False	3	0	1	0
268	17	4	77	0	his	False	-3	28	140	140	268	544	160	160	160	160	-3	his	False	P	False	3	0	1	0
269	17	4	31	0	his	False	-3	29	0	0	0	0	144	144	300	1096	-3	his	False	P	False	3	0	1	1
270	17	4	133	0	his	False	-3	30	0	0	0	0	292	292	292	488	-3	his	False	P	False	3	0	1	1
271	17	4	138	0	his	False	-3	31	0	0	0	0	128	128	128	128	-3	his	False	P	False	3	0	1	1
272	17	4	138	0	his	False	-3	32	208	444	444	720	168	168	168	168	-3	his	False	P	False	3	0	1	0
273	17	4	46	0	his	False	-3	33	136	136	136	316	124	124	124	124	-3	his	False	P	False	3	0	1	0
274	17	4	69	0	his	False	-3	34	252	252	252	252	252	252	252	252	-3	his	False	P	False	3	0	1	0
275	17	4	102	0	his	False	-3	35	144	144	144	144	156	156	156	156	-3	his	False	P	False	3	0	1	0
276	17	4	124	0	his	False	-3	36	0	0	0	0	284	284	284	284	-3	his	False	P	False	3	0	1	1
277	17	4	112	0	his	False	-3	37	156	156	156	212	240	240	240	240	-3	his	False	P	False	3	0	1	0
278	17	4	82	0	his	False	-3	38	248	248	248	248	144	144	144	144	-3	his	False	P	False	3	0	1	0
280	17	4	47	0	his	False	-3	40	140	140	140	140	140	140	140	140	-3	his	False	P	False	3	0	1	0
282	17	4	109	0	his	False	-3	42	0	0	0	0	208	208	208	208	-3	his	False	P	False	3	0	1	1
283	17	4	28	0	his	False	-3	43	180	180	180	180	228	228	228	228	-3	his	False	P	False	3	0	1	0
325	18	5	33	0	his	True	-4	1	248	248	248	248	264	264	264	264	-4	his	False	P	False	3	1	1	0
329	18	5	81	0	his	True	-4	5	0	0	0	0	108	108	108	776	-4	his	False	P	False	3	1	1	1
330	18	5	46	0	his	True	-4	6	176	176	176	176	80	80	80	80	-4	his	False	P	False	3	1	1	0
333	18	5	135	0	his	True	-4	10	336	336	336	336	244	524	524	1364	-4	his	False	P	False	3	1	1	0
334	18	5	201	0	his	True	-4	11	196	196	196	308	108	108	108	108	-4	his	False	P	False	3	1	1	0
336	18	5	27	0	his	True	-4	13	0	0	0	0	604	604	604	604	-4	his	False	P	False	3	1	1	1
339	18	5	38	0	his	True	-4	16	248	248	248	248	172	580	580	580	-4	his	False	P	False	3	1	1	0
340	18	5	84	0	his	True	-4	17	172	172	172	172	116	116	116	484	-4	his	False	P	False	3	1	1	0
342	18	5	51	0	his	True	-4	19	64	64	296	1200	152	152	152	636	-4	his	False	P	False	3	1	1	0
343	18	5	7	0	his	True	-4	20	0	0	0	0	236	416	416	560	-4	his	False	P	False	3	1	1	1
344	18	5	106	0	his	True	-4	21	0	0	0	0	164	164	164	348	-4	his	False	P	False	3	1	1	1
345	18	5	38	0	his	True	-4	22	0	0	0	0	116	116	300	1460	-4	his	False	P	False	3	1	1	1
346	18	5	175	0	his	True	-4	23	172	172	172	172	176	176	1052	2192	-4	his	False	P	False	3	1	1	0
347	18	5	136	0	his	True	-4	24	440	440	440	440	276	276	276	276	-4	his	False	P	False	3	1	1	0
348	18	5	158	0	his	True	-4	25	220	220	220	336	104	104	104	104	-4	his	False	P	False	3	1	1	0
349	18	5	13	0	his	True	-4	27	308	308	308	308	280	280	280	280	-4	his	False	P	False	3	1	1	0
350	18	5	157	0	his	True	-4	28	324	324	324	324	148	148	148	840	-4	his	False	P	False	3	1	1	0
351	18	5	203	0	his	True	-4	29	196	196	196	276	348	348	348	348	-4	his	False	P	False	3	1	1	0
352	18	5	158	0	his	True	-4	30	0	0	0	0	172	172	172	2164	-4	his	False	P	False	3	1	1	1
353	18	5	119	0	his	True	-4	31	0	0	0	0	160	160	160	300	-4	his	False	P	False	3	1	1	1
355	18	5	29	0	his	True	-4	33	176	176	268	672	132	132	132	1976	-4	his	False	P	False	3	1	1	0
357	18	5	149	0	his	True	-4	35	0	0	0	0	244	244	244	668	-4	his	False	P	False	3	1	1	1
359	18	5	188	0	his	True	-4	37	176	176	176	176	140	140	140	324	-4	his	False	P	False	3	1	1	0
360	18	5	141	0	his	True	-4	38	192	192	192	192	88	88	88	88	-4	his	False	P	False	3	1	1	0
361	18	5	205	0	his	True	-4	39	0	0	0	0	160	160	160	284	-4	his	False	P	False	3	1	1	1
362	18	5	65	0	his	True	-4	40	0	0	0	0	216	328	1052	2800	-4	his	False	P	False	3	1	1	1
363	18	5	136	0	his	True	-4	41	312	312	312	312	372	372	372	372	-4	his	False	P	False	3	1	1	0
365	18	5	195	0	his	True	-4	43	148	148	148	348	188	188	188	188	-4	his	False	P	False	3	1	1	0
448	20	3	202	0	his	True	-2	2	160	160	160	320	276	276	276	276	-2	his	False	P	False	3	1	1	0
450	20	3	102	0	his	True	-2	4	196	196	196	460	220	220	220	220	-2	his	False	P	False	3	1	1	0
451	20	3	131	0	his	True	-2	5	268	268	268	744	432	432	432	432	-2	his	False	P	False	3	1	1	0
452	20	3	133	0	his	True	-2	6	0	0	0	0	240	372	372	372	-2	his	False	P	False	3	1	1	1
454	20	3	139	0	his	True	-2	8	188	188	188	188	204	204	204	204	-2	his	False	P	False	3	1	1	0
455	20	3	137	0	his	True	-2	10	0	0	0	0	56	56	184	608	-2	his	False	P	False	3	1	1	1
456	20	3	197	0	his	True	-2	11	156	156	156	156	156	156	156	156	-2	his	False	P	False	3	1	1	0
458	20	3	67	0	his	True	-2	13	200	200	200	412	236	236	236	236	-2	his	False	P	False	3	1	1	0
459	20	3	203	0	his	True	-2	14	204	204	204	204	244	244	244	244	-2	his	False	P	False	3	1	1	0
460	20	3	40	0	his	True	-2	15	44	264	264	264	164	404	508	720	-2	his	False	P	False	3	1	1	0
