	distance	word_pos	sent_pos	sent_nr	subj_nr	token	resolved	rt_fp	spill_fp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	target_skipped
0	?	5	53	14	1	his	0	220	160	?	his	False	P	False	3	0	0
1	?	5	29	14	2	his	0	88	0	?	his	False	P	False	3	0	0
2	?	5	193	14	3	his	0	576	0	?	his	False	P	False	3	0	0
3	?	5	177	14	4	his	0	548	0	?	his	False	P	False	3	0	0
4	?	5	4	14	5	his	0	236	712	?	his	False	P	False	3	0	0
5	?	5	5	14	6	his	0	368	0	?	his	False	P	False	3	0	0
6	?	5	167	14	7	his	0	0	132	?	his	False	P	False	3	0	1
7	?	5	4	14	8	his	0	340	184	?	his	False	P	False	3	0	0
8	?	5	60	14	10	his	0	192	156	?	his	False	P	False	3	0	0
9	?	5	10	14	11	his	0	148	396	?	his	False	P	False	3	0	0
10	?	5	201	14	12	his	0	288	0	?	his	False	P	False	3	0	0
11	?	5	122	14	13	his	0	0	820	?	his	False	P	False	3	0	1
12	?	5	114	14	14	his	0	0	220	?	his	False	P	False	3	0	1
13	?	5	155	14	15	his	0	132	0	?	his	False	P	False	3	0	0
14	?	5	181	14	16	his	0	556	1024	?	his	False	P	False	3	0	0
15	?	5	17	14	17	his	0	296	128	?	his	False	P	False	3	0	0
16	?	5	108	14	18	his	0	240	0	?	his	False	P	False	3	0	0
17	?	5	200	14	19	his	0	220	68	?	his	False	P	False	3	0	0
18	?	5	54	14	20	his	0	248	192	?	his	False	P	False	3	0	0
19	?	5	201	14	21	his	0	0	692	?	his	False	P	False	3	0	1
20	?	5	6	14	22	his	0	0	196	?	his	False	P	False	3	0	1
21	?	5	92	14	23	his	0	192	256	?	his	False	P	False	3	0	0
22	?	5	175	14	24	his	0	272	0	?	his	False	P	False	3	0	0
23	?	5	154	14	25	his	0	148	104	?	his	False	P	False	3	0	0
24	?	5	166	14	27	his	0	128	528	?	his	False	P	False	3	0	0
25	?	5	127	14	28	his	0	820	188	?	his	False	P	False	3	0	0
26	?	5	74	14	29	his	0	284	728	?	his	False	P	False	3	0	0
27	?	5	173	14	30	his	0	248	312	?	his	False	P	False	3	0	0
28	?	5	112	14	31	his	0	0	0	?	his	False	P	False	3	0	1
29	?	5	78	14	32	his	0	280	0	?	his	False	P	False	3	0	0
30	?	5	142	14	33	his	0	132	196	?	his	False	P	False	3	0	0
31	?	5	1	14	34	his	0	296	0	?	his	False	P	False	3	0	0
32	?	5	1	14	35	his	0	144	632	?	his	False	P	False	3	0	0
33	?	5	115	14	36	his	0	152	0	?	his	False	P	False	3	0	0
34	?	5	126	14	37	his	0	456	256	?	his	False	P	False	3	0	0
35	?	5	108	14	38	his	0	188	296	?	his	False	P	False	3	0	0
36	?	5	96	14	39	his	0	224	180	?	his	False	P	False	3	0	0
37	?	5	160	14	41	his	0	232	100	?	his	False	P	False	3	0	0
38	?	5	76	14	42	his	0	0	736	?	his	False	P	False	3	0	1
39	?	5	163	14	43	his	0	164	0	?	his	False	P	False	3	0	0
40	?	6	86	35	1	this	0	0	616	?	this	False	O	False	4	0	1
41	?	6	107	35	2	this	0	148	636	?	this	False	O	False	4	0	0
42	?	6	92	35	3	this	0	200	404	?	this	False	O	False	4	0	0
43	?	6	199	35	4	this	0	304	0	?	this	False	O	False	4	0	0
44	?	6	88	35	5	this	0	140	140	?	this	False	O	False	4	0	0
45	?	6	102	35	6	this	0	0	176	?	this	False	O	False	4	0	1
46	?	6	15	35	7	this	0	124	132	?	this	False	O	False	4	0	0
