	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped	spill_skipped
83	17	4	158	0	his	False	-3	1	188	344	344	344	136	136	136	136	-3	his	False	P	False	3	0	1	0	0
84	17	4	197	0	his	False	-3	2	168	168	168	168	0	0	0	0	-3	his	False	P	False	3	0	1	0	1
85	17	4	122	0	his	False	-3	3	144	144	144	312	184	184	184	184	-3	his	False	P	False	3	0	1	0	0
86	17	4	5	0	his	False	-3	4	88	172	172	172	288	288	476	640	-3	his	False	P	False	3	0	1	0	0
88	17	4	86	0	his	False	-3	6	184	184	184	184	444	444	444	444	-3	his	False	P	False	3	0	1	0	0
90	17	4	51	0	his	False	-3	8	196	196	196	196	248	248	248	516	-3	his	False	P	False	3	0	1	0	0
92	17	4	37	0	his	False	-3	11	124	124	124	124	132	132	132	132	-3	his	False	P	False	3	0	1	0	0
93	17	4	143	0	his	False	-3	12	224	224	224	576	116	116	116	116	-3	his	False	P	False	3	0	1	0	0
94	17	4	52	0	his	False	-3	13	208	208	208	208	168	168	168	168	-3	his	False	P	False	3	0	1	0	0
95	17	4	22	0	his	False	-3	14	208	208	208	208	216	216	216	216	-3	his	False	P	False	3	0	1	0	0
97	17	4	169	0	his	False	-3	16	240	412	412	412	216	464	464	464	-3	his	False	P	False	3	0	1	0	0
98	17	4	86	0	his	False	-3	17	292	292	292	292	172	308	308	308	-3	his	False	P	False	3	0	1	0	0
99	17	4	115	0	his	False	-3	18	208	208	208	208	0	0	0	0	-3	his	False	P	False	3	0	1	0	1
100	17	4	205	0	his	False	-3	19	244	244	244	244	168	168	344	812	-3	his	False	P	False	3	0	1	0	0
103	17	4	52	0	his	False	-3	22	288	288	288	288	196	196	196	196	-3	his	False	P	False	3	0	1	0	0
104	17	4	75	0	his	False	-3	23	184	184	184	184	200	200	200	200	-3	his	False	P	False	3	0	1	0	0
106	17	4	103	0	his	False	-3	25	164	316	316	316	192	192	192	192	-3	his	False	P	False	3	0	1	0	0
107	17	4	195	0	his	False	-3	27	228	228	228	228	28	28	212	428	-3	his	False	P	False	3	0	1	0	0
108	17	4	77	0	his	False	-3	28	140	140	268	544	160	160	160	160	-3	his	False	P	False	3	0	1	0	0
112	17	4	138	0	his	False	-3	32	208	444	444	720	168	168	168	168	-3	his	False	P	False	3	0	1	0	0
113	17	4	46	0	his	False	-3	33	136	136	136	316	124	124	124	124	-3	his	False	P	False	3	0	1	0	0
114	17	4	69	0	his	False	-3	34	252	252	252	252	252	252	252	252	-3	his	False	P	False	3	0	1	0	0
115	17	4	102	0	his	False	-3	35	144	144	144	144	156	156	156	156	-3	his	False	P	False	3	0	1	0	0
117	17	4	112	0	his	False	-3	37	156	156	156	212	240	240	240	240	-3	his	False	P	False	3	0	1	0	0
118	17	4	82	0	his	False	-3	38	248	248	248	248	144	144	144	144	-3	his	False	P	False	3	0	1	0	0
120	17	4	47	0	his	False	-3	40	140	140	140	140	140	140	140	140	-3	his	False	P	False	3	0	1	0	0
123	17	4	28	0	his	False	-3	43	180	180	180	180	228	228	228	228	-3	his	False	P	False	3	0	1	0	0
124	18	5	33	0	his	True	-4	1	248	248	248	248	264	264	264	264	-4	his	False	P	False	3	1	1	0	0
125	18	5	120	0	his	True	-4	2	156	156	344	568	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
126	18	5	75	0	his	True	-4	3	144	336	336	336	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
127	18	5	105	0	his	True	-4	4	644	644	644	644	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
129	18	5	46	0	his	True	-4	6	176	176	176	176	80	80	80	80	-4	his	False	P	False	3	1	1	0	0
130	18	5	107	0	his	True	-4	7	80	80	572	1660	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
131	18	5	153	0	his	True	-4	8	212	212	212	212	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
132	18	5	135	0	his	True	-4	10	336	336	336	336	244	524	524	1364	-4	his	False	P	False	3	1	1	0	0
133	18	5	201	0	his	True	-4	11	196	196	196	308	108	108	108	108	-4	his	False	P	False	3	1	1	0	0
134	18	5	177	0	his	True	-4	12	128	128	128	996	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
136	18	5	149	0	his	True	-4	14	288	288	288	500	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
137	18	5	36	0	his	True	-4	15	232	232	336	720	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
138	18	5	38	0	his	True	-4	16	248	248	248	248	172	580	580	580	-4	his	False	P	False	3	1	1	0	0
139	18	5	84	0	his	True	-4	17	172	172	172	172	116	116	116	484	-4	his	False	P	False	3	1	1	0	0
140	18	5	147	0	his	True	-4	18	204	292	292	292	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
141	18	5	51	0	his	True	-4	19	64	64	296	1200	152	152	152	636	-4	his	False	P	False	3	1	1	0	0
145	18	5	175	0	his	True	-4	23	172	172	172	172	176	176	1052	2192	-4	his	False	P	False	3	1	1	0	0
146	18	5	136	0	his	True	-4	24	440	440	440	440	276	276	276	276	-4	his	False	P	False	3	1	1	0	0
147	18	5	158	0	his	True	-4	25	220	220	220	336	104	104	104	104	-4	his	False	P	False	3	1	1	0	0
148	18	5	13	0	his	True	-4	27	308	308	308	308	280	280	280	280	-4	his	False	P	False	3	1	1	0	0
149	18	5	157	0	his	True	-4	28	324	324	324	324	148	148	148	840	-4	his	False	P	False	3	1	1	0	0
150	18	5	203	0	his	True	-4	29	196	196	196	276	348	348	348	348	-4	his	False	P	False	3	1	1	0	0
153	18	5	203	0	his	True	-4	32	164	164	164	164	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
154	18	5	29	0	his	True	-4	33	176	176	268	672	132	132	132	1976	-4	his	False	P	False	3	1	1	0	0
155	18	5	58	0	his	True	-4	34	168	168	168	1280	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
157	18	5	22	0	his	True	-4	36	236	236	236	904	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
158	18	5	188	0	his	True	-4	37	176	176	176	176	140	140	140	324	-4	his	False	P	False	3	1	1	0	0
159	18	5	141	0	his	True	-4	38	192	192	192	192	88	88	88	88	-4	his	False	P	False	3	1	1	0	0
162	18	5	136	0	his	True	-4	41	312	312	312	312	372	372	372	372	-4	his	False	P	False	3	1	1	0	0
163	18	5	184	0	his	True	-4	42	204	204	204	812	0	0	0	0	-4	his	False	P	False	3	1	1	0	1
164	18	5	195	0	his	True	-4	43	148	148	148	348	188	188	188	188	-4	his	False	P	False	3	1	1	0	0
165	20	3	106	0	his	True	-3	1	168	296	296	296	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
166	20	3	202	0	his	True	-3	2	160	160	160	320	276	276	276	276	-3	his	False	P	False	3	1	1	0	0
167	20	3	120	0	his	True	-3	3	204	340	340	340	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
168	20	3	102	0	his	True	-3	4	196	196	196	460	220	220	220	220	-3	his	False	P	False	3	1	1	0	0
169	20	3	131	0	his	True	-3	5	268	268	268	744	432	432	432	432	-3	his	False	P	False	3	1	1	0	0
171	20	3	63	0	his	True	-3	7	72	172	172	172	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
172	20	3	139	0	his	True	-3	8	188	188	188	188	204	204	204	204	-3	his	False	P	False	3	1	1	0	0
174	20	3	197	0	his	True	-3	11	156	156	156	156	156	156	156	156	-3	his	False	P	False	3	1	1	0	0
176	20	3	67	0	his	True	-3	13	200	200	200	412	236	236	236	236	-3	his	False	P	False	3	1	1	0	0
177	20	3	203	0	his	True	-3	14	204	204	204	204	244	244	244	244	-3	his	False	P	False	3	1	1	0	0
178	20	3	40	0	his	True	-3	15	44	264	264	264	164	404	508	720	-3	his	False	P	False	3	1	1	0	0
179	20	3	103	0	his	True	-3	16	152	152	152	152	192	192	192	192	-3	his	False	P	False	3	1	1	0	0
182	20	3	72	0	his	True	-3	19	180	180	180	180	204	204	204	960	-3	his	False	P	False	3	1	1	0	0
183	20	3	105	0	his	True	-3	20	156	156	156	156	188	188	188	188	-3	his	False	P	False	3	1	1	0	0
185	20	3	203	0	his	True	-3	22	184	184	184	184	188	188	188	188	-3	his	False	P	False	3	1	1	0	0
186	20	3	200	0	his	True	-3	23	192	192	192	852	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
187	20	3	90	0	his	True	-3	24	168	168	168	168	196	196	196	196	-3	his	False	P	False	3	1	1	0	0
189	20	3	173	0	his	True	-3	27	272	272	272	272	168	284	284	688	-3	his	False	P	False	3	1	1	0	0
191	20	3	153	0	his	True	-3	29	148	148	148	148	156	156	156	156	-3	his	False	P	False	3	1	1	0	0
192	20	3	199	0	his	True	-3	30	172	172	552	836	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
193	20	3	200	0	his	True	-3	31	52	52	52	52	172	172	172	172	-3	his	False	P	False	3	1	1	0	0
194	20	3	14	0	his	True	-3	32	224	224	404	652	116	116	116	116	-3	his	False	P	False	3	1	1	0	0
195	20	3	119	0	his	True	-3	33	176	176	176	176	140	140	140	140	-3	his	False	P	False	3	1	1	0	0
196	20	3	127	0	his	True	-3	34	148	148	148	148	352	352	352	352	-3	his	False	P	False	3	1	1	0	0
197	20	3	175	0	his	True	-3	35	280	352	352	352	280	280	280	280	-3	his	False	P	False	3	1	1	0	0
198	20	3	143	0	his	True	-3	36	360	360	360	360	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
199	20	3	78	0	his	True	-3	37	204	204	204	568	168	168	168	168	-3	his	False	P	False	3	1	1	0	0
200	20	3	113	0	his	True	-3	38	232	280	280	280	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
203	20	3	5	0	his	True	-3	42	200	200	200	200	304	304	304	520	-3	his	False	P	False	3	1	1	0	0
204	20	3	162	0	his	True	-3	43	224	224	224	224	160	160	160	160	-3	his	False	P	False	3	1	1	0	0
205	21	3	114	0	his	True	-3	1	244	244	244	244	148	148	444	1140	-3	his	False	P	False	3	1	1	0	0
206	21	3	44	0	his	True	-3	2	92	92	92	92	80	80	264	564	-3	his	False	P	False	3	1	1	0	0
207	21	3	10	0	his	True	-3	3	212	380	380	380	132	132	132	132	-3	his	False	P	False	3	1	1	0	0
209	21	3	15	0	his	True	-3	5	240	240	456	1128	144	144	144	144	-3	his	False	P	False	3	1	1	0	0
211	21	3	86	0	his	True	-3	7	156	156	156	156	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
212	21	3	86	0	his	True	-3	8	180	180	180	180	200	200	200	200	-3	his	False	P	False	3	1	1	0	0
213	21	3	146	0	his	True	-3	10	140	140	140	140	128	128	128	128	-3	his	False	P	False	3	1	1	0	0
214	21	3	70	0	his	True	-3	11	152	152	152	152	136	136	136	136	-3	his	False	P	False	3	1	1	0	0
215	21	3	36	0	his	True	-3	12	116	116	116	116	224	224	224	224	-3	his	False	P	False	3	1	1	0	0
216	21	3	142	0	his	True	-3	13	180	180	180	180	156	156	156	156	-3	his	False	P	False	3	1	1	0	0
218	21	3	30	0	his	True	-3	15	256	256	256	412	232	232	232	232	-3	his	False	P	False	3	1	1	0	0
219	21	3	48	0	his	True	-3	16	192	192	192	192	144	144	144	144	-3	his	False	P	False	3	1	1	0	0
220	21	3	155	0	his	True	-3	17	136	136	136	136	244	400	400	684	-3	his	False	P	False	3	1	1	0	0
222	21	3	42	0	his	True	-3	19	72	72	72	72	296	296	296	432	-3	his	False	P	False	3	1	1	0	0
224	21	3	63	0	his	True	-3	21	144	144	144	144	52	52	52	52	-3	his	False	P	False	3	1	1	0	0
226	21	3	138	0	his	True	-3	23	120	120	120	120	220	220	220	220	-3	his	False	P	False	3	1	1	0	0
227	21	3	146	0	his	True	-3	24	152	152	152	152	164	164	164	164	-3	his	False	P	False	3	1	1	0	0
230	21	3	87	0	his	True	-3	28	140	276	276	276	212	212	212	212	-3	his	False	P	False	3	1	1	0	0
232	21	3	95	0	his	True	-3	30	280	280	280	280	164	164	164	164	-3	his	False	P	False	3	1	1	0	0
234	21	3	154	0	his	True	-3	32	264	264	264	264	236	236	236	236	-3	his	False	P	False	3	1	1	0	0
235	21	3	128	0	his	True	-3	33	160	160	160	160	144	144	144	144	-3	his	False	P	False	3	1	1	0	0
236	21	3	152	0	his	True	-3	34	164	164	164	164	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
237	21	3	95	0	his	True	-3	35	116	116	116	116	584	584	792	2312	-3	his	False	P	False	3	1	1	0	0
239	21	3	190	0	his	True	-3	37	124	124	124	124	180	180	180	180	-3	his	False	P	False	3	1	1	0	0
242	21	3	67	0	his	True	-3	40	224	224	224	224	304	304	304	304	-3	his	False	P	False	3	1	1	0	0
245	21	3	93	0	his	True	-3	43	128	128	128	128	212	212	212	212	-3	his	False	P	False	3	1	1	0	0
288	32	5	138	0	our	True	-4	1	256	256	256	764	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
289	32	5	70	0	our	True	-4	2	176	176	700	864	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
290	32	5	87	0	our	True	-4	3	156	348	348	348	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
291	32	5	26	0	our	True	-4	4	132	132	1100	1220	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
292	32	5	115	0	our	True	-4	5	304	304	304	1544	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
293	32	5	72	0	our	True	-4	6	312	312	312	312	248	248	248	248	-4	our	False	P	True	3	1	1	0	0
294	32	5	73	0	our	True	-4	7	140	140	304	664	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
295	32	5	31	0	our	True	-4	8	180	180	180	660	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
296	32	5	58	0	our	True	-4	10	192	192	408	940	196	196	196	1104	-4	our	False	P	True	3	1	1	0	0
297	32	5	188	0	our	True	-4	11	280	280	280	680	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
298	32	5	23	0	our	True	-4	12	192	192	192	772	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
299	32	5	23	0	our	True	-4	13	184	184	184	184	504	504	504	504	-4	our	False	P	True	3	1	1	0	0
301	32	5	117	0	our	True	-4	15	640	640	640	640	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
302	32	5	43	0	our	True	-4	16	216	744	1336	1556	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
303	32	5	135	0	our	True	-4	18	276	276	276	276	292	292	292	292	-4	our	False	P	True	3	1	1	0	0
304	32	5	82	0	our	True	-4	19	260	260	260	260	412	412	412	636	-4	our	False	P	True	3	1	1	0	0
306	32	5	71	0	our	True	-4	21	124	124	124	124	232	232	232	1248	-4	our	False	P	True	3	1	1	0	0
308	32	5	186	0	our	True	-4	23	376	376	376	376	428	1520	1520	1520	-4	our	False	P	True	3	1	1	0	0
309	32	5	56	0	our	True	-4	24	168	168	168	168	396	396	396	396	-4	our	False	P	True	3	1	1	0	0
310	32	5	49	0	our	True	-4	25	200	200	200	340	180	180	180	180	-4	our	False	P	True	3	1	1	0	0
311	32	5	144	0	our	True	-4	27	260	828	828	828	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
312	32	5	14	0	our	True	-4	28	192	192	192	192	168	168	168	292	-4	our	False	P	True	3	1	1	0	0
313	32	5	98	0	our	True	-4	29	180	180	180	180	152	152	152	572	-4	our	False	P	True	3	1	1	0	0
314	32	5	172	0	our	True	-4	30	248	248	248	864	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
315	32	5	169	0	our	True	-4	31	140	140	140	140	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
316	32	5	95	0	our	True	-4	32	176	176	176	176	316	316	316	316	-4	our	False	P	True	3	1	1	0	0
317	32	5	22	0	our	True	-4	33	236	236	236	652	200	744	744	744	-4	our	False	P	True	3	1	1	0	0
318	32	5	74	0	our	True	-4	34	996	996	996	996	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
319	32	5	28	0	our	True	-4	35	156	156	156	156	560	560	560	560	-4	our	False	P	True	3	1	1	0	0
320	32	5	164	0	our	True	-4	36	204	204	204	616	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
321	32	5	118	0	our	True	-4	37	184	184	468	668	0	0	0	0	-4	our	False	P	True	3	1	1	0	1
322	32	5	184	0	our	True	-4	38	212	212	212	264	320	320	320	320	-4	our	False	P	True	3	1	1	0	0
323	32	5	188	0	our	True	-4	39	140	140	232	452	148	148	148	320	-4	our	False	P	True	3	1	1	0	0
325	32	5	121	0	our	True	-4	41	100	100	300	636	148	148	148	148	-4	our	False	P	True	3	1	1	0	0
327	32	5	153	0	our	True	-4	43	212	212	212	212	144	144	144	472	-4	our	False	P	True	3	1	1	0	0
328	42	5	26	0	he	False	-4	1	216	216	216	216	412	412	412	412	-4	he	False	O	False	2	0	1	0	0
329	42	5	145	0	he	False	-4	2	212	212	212	212	268	344	344	648	-4	he	False	O	False	2	0	1	0	0
331	42	5	94	0	he	False	-4	4	144	144	144	144	180	228	620	1296	-4	he	False	O	False	2	0	1	0	0
335	42	5	56	0	he	False	-4	8	312	312	312	312	260	260	260	260	-4	he	False	O	False	2	0	1	0	0
