sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp
4	1	109	0	He	True	?	15	0	0	0	0	252	252	252	252
4	1	104	0	He	True	?	16	0	0	0	0	312	312	424	512
4	1	192	0	He	True	?	18	0	0	0	0	260	308	308	308
4	1	93	0	He	True	?	19	0	0	0	0	276	276	276	276
4	1	178	0	He	True	?	20	0	0	0	0	228	360	360	360
4	1	100	0	He	True	?	21	0	0	0	0	0	0	0	0
4	1	86	0	He	True	?	22	0	0	0	0	364	364	520	660
4	1	91	0	He	True	?	23	0	0	0	0	204	420	420	420
4	1	63	0	He	True	?	24	236	236	236	236	160	160	160	160
4	1	112	0	He	True	?	25	100	100	100	100	176	316	316	316
4	1	28	0	He	True	?	27	0	0	0	0	108	456	456	456
4	1	43	0	He	True	?	28	0	0	0	0	220	220	220	220
4	1	140	0	He	True	?	29	0	0	0	0	328	328	328	328
4	1	143	0	He	True	?	30	0	0	0	0	280	780	780	780
4	1	193	0	He	True	?	31	124	124	124	124	200	200	200	200
4	1	8	0	He	True	?	32	0	0	0	0	252	252	252	460
4	1	146	0	He	True	?	33	240	240	240	240	176	176	176	176
4	1	86	0	He	True	?	34	0	0	0	0	208	428	428	428
4	1	16	0	He	True	?	35	76	76	76	76	284	284	284	284
4	1	39	0	He	True	?	36	0	0	0	0	228	228	228	228
4	1	74	0	He	True	?	37	196	196	196	196	92	220	220	220
4	1	17	0	He	True	?	38	0	0	0	0	296	628	628	628
4	1	58	0	He	True	?	39	16	16	16	16	168	168	168	168
4	1	183	0	He	True	?	41	0	0	0	0	0	0	0	0
4	1	12	0	He	True	?	42	0	0	0	0	320	444	444	444
4	1	132	0	He	True	?	43	0	0	0	0	224	224	224	416
10	1	47	0	This	True	?	1	268	268	268	268	200	448	448	448
10	1	54	0	This	True	?	2	184	184	184	184	164	164	164	164
10	1	89	0	This	True	?	3	332	332	332	332	156	156	156	156
10	1	68	0	This	True	?	4	324	324	324	324	140	140	140	140
10	1	87	0	This	True	?	5	0	0	0	0	260	504	504	640
10	1	36	0	This	True	?	6	236	236	236	236	120	120	120	120
10	1	143	0	This	True	?	7	0	0	0	0	0	0	0	0
10	1	94	0	This	True	?	8	0	0	0	0	236	236	380	504
