sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp
17	4	143	0	his	False	-3	12	224	224	224	576	116	116	116	116
17	4	52	0	his	False	-3	13	208	208	208	208	168	168	168	168
17	4	22	0	his	False	-3	14	208	208	208	208	216	216	216	216
17	4	119	0	his	False	-3	15	0	0	0	0	496	496	496	496
17	4	169	0	his	False	-3	16	240	412	412	412	216	464	464	464
17	4	86	0	his	False	-3	17	292	292	292	292	172	308	308	308
17	4	115	0	his	False	-3	18	208	208	208	208	0	0	0	0
17	4	205	0	his	False	-3	19	244	244	244	244	168	168	344	812
17	4	116	0	his	False	-3	20	0	0	0	0	200	200	200	200
17	4	189	0	his	False	-3	21	0	0	0	0	272	420	420	420
17	4	52	0	his	False	-3	22	288	288	288	288	196	196	196	196
17	4	75	0	his	False	-3	23	184	184	184	184	200	200	200	200
17	4	14	0	his	False	-3	24	0	0	0	0	156	156	312	708
17	4	103	0	his	False	-3	25	164	316	316	316	192	192	192	192
17	4	195	0	his	False	-3	27	228	228	228	228	28	28	212	428
17	4	77	0	his	False	-3	28	140	140	268	544	160	160	160	160
17	4	31	0	his	False	-3	29	0	0	0	0	144	144	300	1096
17	4	133	0	his	False	-3	30	0	0	0	0	292	292	292	488
17	4	138	0	his	False	-3	31	0	0	0	0	128	128	128	128
17	4	138	0	his	False	-3	32	208	444	444	720	168	168	168	168
17	4	46	0	his	False	-3	33	136	136	136	316	124	124	124	124
17	4	69	0	his	False	-3	34	252	252	252	252	252	252	252	252
17	4	102	0	his	False	-3	35	144	144	144	144	156	156	156	156
17	4	124	0	his	False	-3	36	0	0	0	0	284	284	284	284
17	4	112	0	his	False	-3	37	156	156	156	212	240	240	240	240
17	4	82	0	his	False	-3	38	248	248	248	248	144	144	144	144
17	4	148	0	his	False	-3	39	0	0	0	0	0	0	0	0
17	4	47	0	his	False	-3	40	140	140	140	140	140	140	140	140
17	4	67	0	his	False	-3	41	0	0	0	0	0	0	0	0
17	4	109	0	his	False	-3	42	0	0	0	0	208	208	208	208
17	4	28	0	his	False	-3	43	180	180	180	180	228	228	228	228
18	5	33	0	his	True	-4	1	248	248	248	248	264	264	264	264
18	5	120	0	his	True	-4	2	156	156	344	568	0	0	0	0
18	5	75	0	his	True	-4	3	144	336	336	336	0	0	0	0
18	5	105	0	his	True	-4	4	644	644	644	644	0	0	0	0
18	5	81	0	his	True	-4	5	0	0	0	0	108	108	108	776
18	5	46	0	his	True	-4	6	176	176	176	176	80	80	80	80
18	5	107	0	his	True	-4	7	80	80	572	1660	0	0	0	0
18	5	153	0	his	True	-4	8	212	212	212	212	0	0	0	0
18	5	135	0	his	True	-4	10	336	336	336	336	244	524	524	1364
18	5	201	0	his	True	-4	11	196	196	196	308	108	108	108	108
18	5	177	0	his	True	-4	12	128	128	128	996	0	0	0	0
18	5	27	0	his	True	-4	13	0	0	0	0	604	604	604	604
18	5	149	0	his	True	-4	14	288	288	288	500	0	0	0	0
18	5	36	0	his	True	-4	15	232	232	336	720	0	0	0	0
18	5	38	0	his	True	-4	16	248	248	248	248	172	580	580	580
18	5	84	0	his	True	-4	17	172	172	172	172	116	116	116	484
18	5	147	0	his	True	-4	18	204	292	292	292	0	0	0	0
18	5	51	0	his	True	-4	19	64	64	296	1200	152	152	152	636
18	5	7	0	his	True	-4	20	0	0	0	0	236	416	416	560
18	5	106	0	his	True	-4	21	0	0	0	0	164	164	164	348
18	5	38	0	his	True	-4	22	0	0	0	0	116	116	300	1460
18	5	175	0	his	True	-4	23	172	172	172	172	176	176	1052	2192
18	5	136	0	his	True	-4	24	440	440	440	440	276	276	276	276
18	5	158	0	his	True	-4	25	220	220	220	336	104	104	104	104
18	5	13	0	his	True	-4	27	308	308	308	308	280	280	280	280
18	5	157	0	his	True	-4	28	324	324	324	324	148	148	148	840
18	5	203	0	his	True	-4	29	196	196	196	276	348	348	348	348
18	5	158	0	his	True	-4	30	0	0	0	0	172	172	172	2164
18	5	119	0	his	True	-4	31	0	0	0	0	160	160	160	300
18	5	203	0	his	True	-4	32	164	164	164	164	0	0	0	0
18	5	29	0	his	True	-4	33	176	176	268	672	132	132	132	1976
18	5	58	0	his	True	-4	34	168	168	168	1280	0	0	0	0
18	5	149	0	his	True	-4	35	0	0	0	0	244	244	244	668
18	5	22	0	his	True	-4	36	236	236	236	904	0	0	0	0
18	5	188	0	his	True	-4	37	176	176	176	176	140	140	140	324
18	5	141	0	his	True	-4	38	192	192	192	192	88	88	88	88
18	5	205	0	his	True	-4	39	0	0	0	0	160	160	160	284
18	5	65	0	his	True	-4	40	0	0	0	0	216	328	1052	2800
18	5	136	0	his	True	-4	41	312	312	312	312	372	372	372	372
18	5	184	0	his	True	-4	42	204	204	204	812	0	0	0	0
18	5	195	0	his	True	-4	43	148	148	148	348	188	188	188	188
20	3	106	0	his	True	-3	1	168	296	296	296	0	0	0	0
20	3	202	0	his	True	-3	2	160	160	160	320	276	276	276	276
20	3	120	0	his	True	-3	3	204	340	340	340	0	0	0	0
20	3	102	0	his	True	-3	4	196	196	196	460	220	220	220	220
20	3	131	0	his	True	-3	5	268	268	268	744	432	432	432	432
20	3	133	0	his	True	-3	6	0	0	0	0	240	372	372	372
20	3	63	0	his	True	-3	7	72	172	172	172	0	0	0	0
20	3	139	0	his	True	-3	8	188	188	188	188	204	204	204	204
20	3	137	0	his	True	-3	10	0	0	0	0	56	56	184	608
20	3	197	0	his	True	-3	11	156	156	156	156	156	156	156	156
20	3	15	0	his	True	-3	12	0	0	0	0	0	0	0	0
20	3	67	0	his	True	-3	13	200	200	200	412	236	236	236	236
20	3	203	0	his	True	-3	14	204	204	204	204	244	244	244	244
20	3	40	0	his	True	-3	15	44	264	264	264	164	404	508	720
20	3	103	0	his	True	-3	16	152	152	152	152	192	192	192	192
20	3	3	0	his	True	-3	17	0	0	0	0	192	192	356	1016
20	3	96	0	his	True	-3	18	0	0	0	0	284	284	284	284
20	3	72	0	his	True	-3	19	180	180	180	180	204	204	204	960
20	3	105	0	his	True	-3	20	156	156	156	156	188	188	188	188
20	3	48	0	his	True	-3	21	0	0	0	0	240	240	384	680
20	3	203	0	his	True	-3	22	184	184	184	184	188	188	188	188
20	3	200	0	his	True	-3	23	192	192	192	852	0	0	0	0
20	3	90	0	his	True	-3	24	168	168	168	168	196	196	196	196
20	3	134	0	his	True	-3	25	0	0	0	0	216	216	308	960
20	3	173	0	his	True	-3	27	272	272	272	272	168	284	284	688
20	3	49	0	his	True	-3	28	0	0	0	0	220	348	348	348
20	3	153	0	his	True	-3	29	148	148	148	148	156	156	156	156
20	3	199	0	his	True	-3	30	172	172	552	836	0	0	0	0
20	3	200	0	his	True	-3	31	52	52	52	52	172	172	172	172
20	3	14	0	his	True	-3	32	224	224	404	652	116	116	116	116
20	3	119	0	his	True	-3	33	176	176	176	176	140	140	140	140
20	3	127	0	his	True	-3	34	148	148	148	148	352	352	352	352
20	3	175	0	his	True	-3	35	280	352	352	352	280	280	280	280
20	3	143	0	his	True	-3	36	360	360	360	360	0	0	0	0
20	3	78	0	his	True	-3	37	204	204	204	568	168	168	168	168
20	3	113	0	his	True	-3	38	232	280	280	280	0	0	0	0
20	3	122	0	his	True	-3	39	0	0	0	0	0	0	0	0
20	3	28	0	his	True	-3	41	0	0	0	0	172	216	416	852
20	3	5	0	his	True	-3	42	200	200	200	200	304	304	304	520
20	3	162	0	his	True	-3	43	224	224	224	224	160	160	160	160
21	3	114	0	his	True	-3	1	244	244	244	244	148	148	444	1140
21	3	44	0	his	True	-3	2	92	92	92	92	80	80	264	564
21	3	10	0	his	True	-3	3	212	380	380	380	132	132	132	132
21	3	58	0	his	True	-3	4	0	0	0	0	232	384	384	384
21	3	15	0	his	True	-3	5	240	240	456	1128	144	144	144	144
21	3	116	0	his	True	-3	6	0	0	0	0	156	156	156	156
21	3	86	0	his	True	-3	7	156	156	156	156	0	0	0	0
21	3	86	0	his	True	-3	8	180	180	180	180	200	200	200	200
21	3	146	0	his	True	-3	10	140	140	140	140	128	128	128	128
21	3	70	0	his	True	-3	11	152	152	152	152	136	136	136	136
21	3	36	0	his	True	-3	12	116	116	116	116	224	224	224	224
21	3	142	0	his	True	-3	13	180	180	180	180	156	156	156	156
21	3	101	0	his	True	-3	14	0	0	0	0	176	340	340	340
21	3	30	0	his	True	-3	15	256	256	256	412	232	232	232	232
21	3	48	0	his	True	-3	16	192	192	192	192	144	144	144	144
21	3	155	0	his	True	-3	17	136	136	136	136	244	400	400	684
21	3	152	0	his	True	-3	18	0	0	0	0	240	240	240	240
21	3	42	0	his	True	-3	19	72	72	72	72	296	296	296	432
21	3	18	0	his	True	-3	20	0	0	0	0	180	180	180	180
21	3	63	0	his	True	-3	21	144	144	144	144	52	52	52	52
21	3	51	0	his	True	-3	22	0	0	0	0	220	324	460	1544
21	3	138	0	his	True	-3	23	120	120	120	120	220	220	220	220
21	3	146	0	his	True	-3	24	152	152	152	152	164	164	164	164
21	3	40	0	his	True	-3	25	0	0	0	0	160	292	292	484
21	3	79	0	his	True	-3	27	0	0	0	0	56	56	224	1152
21	3	87	0	his	True	-3	28	140	276	276	276	212	212	212	212
21	3	191	0	his	True	-3	29	0	0	0	0	160	160	160	284
21	3	95	0	his	True	-3	30	280	280	280	280	164	164	164	164
21	3	76	0	his	True	-3	31	0	0	0	0	184	304	304	304
21	3	154	0	his	True	-3	32	264	264	264	264	236	236	236	236
21	3	128	0	his	True	-3	33	160	160	160	160	144	144	144	144
21	3	152	0	his	True	-3	34	164	164	164	164	0	0	0	0
21	3	95	0	his	True	-3	35	116	116	116	116	584	584	792	2312
21	3	126	0	his	True	-3	36	0	0	0	0	208	208	208	208
21	3	190	0	his	True	-3	37	124	124	124	124	180	180	180	180
21	3	107	0	his	True	-3	38	0	0	0	0	352	352	352	352
21	3	108	0	his	True	-3	39	0	0	0	0	0	0	0	0
21	3	67	0	his	True	-3	40	224	224	224	224	304	304	304	304
21	3	40	0	his	True	-3	41	0	0	0	0	0	0	0	0
21	3	119	0	his	True	-3	42	0	0	0	0	296	296	296	296
21	3	93	0	his	True	-3	43	128	128	128	128	212	212	212	212
30	6	81	1	itself.	False	-3	1	148	148	292	512	-999	-999	-999	-999
30	6	23	1	itself.	False	-3	2	376	376	376	376	-999	-999	-999	-999
30	6	2	1	itself.	False	-3	3	272	272	436	648	-999	-999	-999	-999
30	6	84	1	itself.	False	-3	4	192	192	192	192	-999	-999	-999	-999
30	6	13	1	itself.	False	-3	5	100	100	100	864	-999	-999	-999	-999
30	6	6	1	itself.	False	-3	6	244	244	244	504	-999	-999	-999	-999
30	6	111	1	itself.	False	-3	7	304	304	528	772	-999	-999	-999	-999
30	6	96	1	itself.	False	-3	8	236	368	368	368	-999	-999	-999	-999
30	6	3	1	itself.	False	-3	9	232	232	780	1428	-999	-999	-999	-999
30	6	154	1	itself.	False	-3	10	276	276	436	1064	-999	-999	-999	-999
30	6	199	1	itself.	False	-3	11	204	204	204	204	-999	-999	-999	-999
30	6	151	1	itself.	False	-3	12	224	224	224	224	-999	-999	-999	-999
30	6	65	1	itself.	False	-3	13	228	536	536	536	-999	-999	-999	-999
30	6	122	1	itself.	False	-3	14	224	224	548	720	-999	-999	-999	-999
30	6	49	1	itself.	False	-3	15	0	0	0	0	-999	-999	-999	-999
30	6	163	1	itself.	False	-3	16	532	724	724	724	-999	-999	-999	-999
30	6	20	1	itself.	False	-3	17	160	160	160	796	-999	-999	-999	-999
30	6	163	1	itself.	False	-3	18	268	268	268	268	-999	-999	-999	-999
30	6	119	1	itself.	False	-3	19	0	0	0	0	-999	-999	-999	-999
30	6	12	1	itself.	False	-3	20	164	164	272	688	-999	-999	-999	-999
30	6	136	1	itself.	False	-3	21	284	284	284	284	-999	-999	-999	-999
30	6	117	1	itself.	False	-3	22	196	196	196	296	-999	-999	-999	-999
30	6	95	1	itself.	False	-3	23	180	180	508	724	-999	-999	-999	-999
30	6	32	1	itself.	False	-3	24	148	148	292	468	-999	-999	-999	-999
30	6	7	1	itself.	False	-3	25	0	0	0	0	-999	-999	-999	-999
30	6	36	1	itself.	False	-3	27	136	136	440	676	-999	-999	-999	-999
30	6	9	1	itself.	False	-3	28	192	192	352	536	-999	-999	-999	-999
30	6	155	1	itself.	False	-3	29	176	176	652	740	-999	-999	-999	-999
30	6	63	1	itself.	False	-3	30	172	172	600	2172	-999	-999	-999	-999
30	6	36	1	itself.	False	-3	31	96	96	96	96	-999	-999	-999	-999
30	6	26	1	itself.	False	-3	32	220	220	220	456	-999	-999	-999	-999
30	6	69	1	itself.	False	-3	33	232	232	600	1384	-999	-999	-999	-999
30	6	157	1	itself.	False	-3	34	0	0	0	0	-999	-999	-999	-999
30	6	153	1	itself.	False	-3	35	364	364	364	364	-999	-999	-999	-999
30	6	195	1	itself.	False	-3	36	0	0	0	0	-999	-999	-999	-999
30	6	85	1	itself.	False	-3	37	140	140	392	748	-999	-999	-999	-999
30	6	160	1	itself.	False	-3	38	216	216	216	216	-999	-999	-999	-999
30	6	84	1	itself.	False	-3	39	0	0	0	0	-999	-999	-999	-999
30	6	123	1	itself.	False	-3	40	0	0	0	0	-999	-999	-999	-999
30	6	113	1	itself.	False	-3	41	236	236	612	1244	-999	-999	-999	-999
30	6	49	1	itself.	False	-3	42	320	504	504	1300	-999	-999	-999	-999
30	6	10	1	itself.	False	-3	43	204	204	748	2288	-999	-999	-999	-999
32	5	138	0	our	True	-4	1	256	256	256	764	0	0	0	0
32	5	70	0	our	True	-4	2	176	176	700	864	0	0	0	0
32	5	87	0	our	True	-4	3	156	348	348	348	0	0	0	0
32	5	26	0	our	True	-4	4	132	132	1100	1220	0	0	0	0
32	5	115	0	our	True	-4	5	304	304	304	1544	0	0	0	0
32	5	72	0	our	True	-4	6	312	312	312	312	248	248	248	248
32	5	73	0	our	True	-4	7	140	140	304	664	0	0	0	0
32	5	31	0	our	True	-4	8	180	180	180	660	0	0	0	0
32	5	58	0	our	True	-4	10	192	192	408	940	196	196	196	1104
32	5	188	0	our	True	-4	11	280	280	280	680	0	0	0	0
32	5	23	0	our	True	-4	12	192	192	192	772	0	0	0	0
32	5	23	0	our	True	-4	13	184	184	184	184	504	504	504	504
32	5	131	0	our	True	-4	14	0	0	0	0	108	108	108	720
32	5	117	0	our	True	-4	15	640	640	640	640	0	0	0	0
32	5	43	0	our	True	-4	16	216	744	1336	1556	0	0	0	0
32	5	135	0	our	True	-4	18	276	276	276	276	292	292	292	292
32	5	82	0	our	True	-4	19	260	260	260	260	412	412	412	636
32	5	43	0	our	True	-4	20	0	0	0	0	216	216	384	1220
32	5	71	0	our	True	-4	21	124	124	124	124	232	232	232	1248
32	5	181	0	our	True	-4	22	0	0	0	0	204	204	204	204
32	5	186	0	our	True	-4	23	376	376	376	376	428	1520	1520	1520
32	5	56	0	our	True	-4	24	168	168	168	168	396	396	396	396
32	5	49	0	our	True	-4	25	200	200	200	340	180	180	180	180
32	5	144	0	our	True	-4	27	260	828	828	828	0	0	0	0
32	5	14	0	our	True	-4	28	192	192	192	192	168	168	168	292
32	5	98	0	our	True	-4	29	180	180	180	180	152	152	152	572
32	5	172	0	our	True	-4	30	248	248	248	864	0	0	0	0
32	5	169	0	our	True	-4	31	140	140	140	140	0	0	0	0
32	5	95	0	our	True	-4	32	176	176	176	176	316	316	316	316
32	5	22	0	our	True	-4	33	236	236	236	652	200	744	744	744
32	5	74	0	our	True	-4	34	996	996	996	996	0	0	0	0
32	5	28	0	our	True	-4	35	156	156	156	156	560	560	560	560
32	5	164	0	our	True	-4	36	204	204	204	616	0	0	0	0
32	5	118	0	our	True	-4	37	184	184	468	668	0	0	0	0
32	5	184	0	our	True	-4	38	212	212	212	264	320	320	320	320
32	5	188	0	our	True	-4	39	140	140	232	452	148	148	148	320
32	5	175	0	our	True	-4	40	0	0	0	0	0	0	0	0
32	5	121	0	our	True	-4	41	100	100	300	636	148	148	148	148
32	5	82	0	our	True	-4	42	0	0	0	0	288	288	288	1012
32	5	153	0	our	True	-4	43	212	212	212	212	144	144	144	472
42	5	26	0	he	False	-4	1	216	216	216	216	412	412	412	412
42	5	145	0	he	False	-4	2	212	212	212	212	268	344	344	648
42	5	173	0	he	False	-4	3	0	0	0	0	184	564	564	564
42	5	94	0	he	False	-4	4	144	144	144	144	180	228	620	1296
42	5	3	0	he	False	-4	5	0	0	0	0	224	224	452	1988
42	5	53	0	he	False	-4	6	0	0	0	0	252	252	252	252
42	5	37	0	he	False	-4	7	0	0	0	0	176	176	1136	2848
42	5	56	0	he	False	-4	8	312	312	312	312	260	260	260	260
42	5	1	0	he	False	-4	10	120	120	120	120	144	144	1040	2336
42	5	4	0	he	False	-4	11	148	148	148	148	132	736	736	736
42	5	77	0	he	False	-4	12	0	0	0	0	224	224	224	1212
42	5	3	0	he	False	-4	13	0	0	0	0	240	524	524	524
42	5	82	0	he	False	-4	14	248	248	248	248	196	196	692	1068
42	5	124	0	he	False	-4	15	224	224	804	976	0	0	0	0
42	5	194	0	he	False	-4	16	224	224	224	224	204	204	204	380
42	5	177	0	he	False	-4	18	256	256	256	256	444	444	444	444
42	5	56	0	he	False	-4	19	0	0	0	0	368	420	560	1868
42	5	205	0	he	False	-4	20	0	0	0	0	156	156	156	156
42	5	60	0	he	False	-4	21	200	200	200	520	308	308	308	308
42	5	82	0	he	False	-4	22	0	0	0	0	384	640	640	640
42	5	61	0	he	False	-4	23	0	0	0	0	160	324	324	324
42	5	39	0	he	False	-4	24	0	0	0	0	176	176	176	176
42	5	174	0	he	False	-4	25	0	0	0	0	296	296	296	296
42	5	167	0	he	False	-4	27	216	216	216	216	172	484	484	484
42	5	102	0	he	False	-4	28	164	164	164	164	164	164	164	164
42	5	113	0	he	False	-4	29	160	160	160	160	184	184	184	184
42	5	102	0	he	False	-4	30	160	476	476	476	220	220	220	220
42	5	25	0	he	False	-4	31	132	132	132	340	96	96	96	96
42	5	38	0	he	False	-4	32	148	148	148	148	356	356	356	356
42	5	144	0	he	False	-4	33	0	0	0	0	200	532	732	868
42	5	204	0	he	False	-4	34	156	156	156	392	0	0	0	0
42	5	194	0	he	False	-4	35	184	184	184	184	136	136	136	136
42	5	203	0	he	False	-4	36	168	168	168	168	152	152	152	152
42	5	120	0	he	False	-4	37	124	124	124	124	184	184	184	184
42	5	63	0	he	False	-4	38	168	168	168	168	172	172	172	172
42	5	17	0	he	False	-4	39	0	0	0	0	120	412	412	412
42	5	143	0	he	False	-4	40	0	0	0	0	112	256	256	256
42	5	9	0	he	False	-4	41	0	0	0	0	304	576	576	576
42	5	145	0	he	False	-4	42	0	0	0	0	116	116	116	116
42	5	193	0	he	False	-4	43	0	0	0	0	252	252	252	252
43	6	124	0	his	False	-5	1	204	204	204	204	456	456	456	456
43	6	41	0	his	False	-5	2	152	360	360	360	0	0	0	0
43	6	16	0	his	False	-5	3	464	464	464	464	248	248	248	600
43	6	178	0	his	False	-5	4	192	192	192	192	196	196	196	868
43	6	45	0	his	False	-5	5	0	0	0	0	236	236	236	672
43	6	189	0	his	False	-5	6	0	0	0	0	0	0	0	0
43	6	6	0	his	False	-5	7	164	164	320	668	0	0	0	0
43	6	173	0	his	False	-5	8	272	272	272	272	0	0	0	0
43	6	10	0	his	False	-5	9	68	68	68	68	344	524	1032	1672
43	6	68	0	his	False	-5	10	0	0	0	0	260	260	260	1780
